,,,,Unit and Propulsion Unit Parts Mfg. (NAICS),,,,,,,,
,,3728,336413,Machine Shop--Aircraft Components (CA),3632,3831,461,3632,3632,3632,461,3632
"Airport Control Towers--Not Operated
Exclusively by the Federal Aviation
Administration",40020,N/A,488111,"Aviation--Air Traffic Controllers under
Contract with the FAA",7402,7402,953,7402,7402,7402,953,7402
"Airport Runway or Warming Apron--Paving or
Repaving, Surfacing, Resurfacing or Scraping",91125,1629,238110,Airport Construction--Paving,5506,5506,601,5506,5500,5506,601,5506
"Airport--Lessees of Portions of Airports Engaged
in the Sale of Aircraft or Accessories, Servicing
or Repairing of Aircraft or Pilot Instructions",40026,4581,488190,"Airport--Lessees of Portions of Airports
Engaged in Sale, Servicing or Repairing or
Pilot Instructions (ISO)",7403,7428,7428,7423,7428,7403,7428,7423
Airports--Commercial,40010,4581,488119,"Aviation--Airport or Heliport Operator--All
Employees",7403,7429,7428,7423,7435,7403,7428,7423
Airports--Private,40015,4581,488119,"Aviation--Airport or Heliport Operator--All
Employees (Private)",7403,7429,7428,7423,7435,7403,7428,7423
FastComp.com 3 (800 ) 476-2948,,,,,,,,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
Alarm Mfg.--Burglar,51205,3669,334290,Alarm Mfg.--Burglar,3179,3179,473,3179,3179,3179,473,3179
Alarm Mfg.--Fire or Smoke,51206,3669,334290,Alarm Mfg.--Fire or Smoke,3179,3179,473,3179,3179,3179,473,3179
"Alarms and Alarm Systems--Installation,
Servicing or Repair",91127,"1731
7389","561621
561790","Burglar Alarm Installation or Repair
Fire Alarm Installation or Repair","7605
7605","7605
7605","660
660","5191
5191","7605
7605","5191
5191","660
660","7600
7600"
Alarms--Security Systems--Monitoring,91130,7382,561621,"Alarms--Security Systems--Monitoring (or
Responding to Alarms)",7720,7721,954,7720,7723,7723,954,7720
Alcohol Mfg.--Not Beverage,51210,2869,325193,Alcohol Mfg.--Wood,1472,1463,551,1463,1463,1470,551,1472
"Ambulance Service, First Aid or Rescue Squads--
Not-For-Profit Only",40032,4119,621910,"Ambulance Service Companies--All Other
Employees (Nonprofit)",7705,7332,807,7380,7715,8394,807,7720
,,4119,621910,Ambulance Service Companies and EMS,7705,7332,807,7380,7712,8394,807,7720
,,,,(Emergency Medical Service) Providers,,,,,,,,
"Ambulance Service, First Aid or Rescue Squads--",40031,4119,621910,Ambulance Service Companies--Garage,8385,7332,807,7380,8385,8385,807,8385
Other Than Not-For-Profit,,,,Employees,,,,,,,,
,,4119,621910,Emergency Management--Volunteers (NJ),7705,7332,N/A,7380,7712,7370,993,7720
,,3483,332993,Cartridge Loading or Charging,4771,4771,4771,N/A,4771,4771,4775,4766
,,3483,332993,Explosives or Ammunition Mfg.--Cartridge,3574,3574,445,3628,3574,4767,445,3574
,,,,Mfg. or Assembly--Small Arms,,,,,,,,
Ammunition Mfg.,51211,3483,332993,Explosives or Ammunition Mfg.--Cartridge or,3315,3400,4771,3315,3315,3315,4771,3316
,,,,Shell Case Mfg.--Metal,,,,,,,,
,,3483,332993,Explosives or Ammunition Mfg.--NOC,4771,4771,4771,N/A,4771,4771,4771,4766
,,3482,332992,Small Arms Ammunition Mfg.,4771,4771,4771,N/A,4771,4771,4771,4766
Amusement Centers,10015,7993,713120,"Amusement Centers (Arcades, Not
Amusement Parks) (CGL)",8017,8017,969,8017,8017,8017,969,8017
Amusement Devices,40040,7999,713990,"Amusement Device Operation NOC--Not
Traveling",9180,9180,969,9015,9180,9180,969,9016
"Amusement Devices--Operated in Connection
with Carnivals or Fairs--Not-For-Profit Only",40042,7999,713990,"Amusement Devices--Operated in Connection
with (Mobile or Traveling) Carnivals or Fairs
(Nonprofit)",9186,9185,939,9015,9186,9186,939,9186
"Amusement Devices--Operated in Connection
with Carnivals or Fairs--Other Than Not-For-
Profit",40041,7999,713990,"Amusement Devices--Operated in Connection
with (Mobile or Traveling) Carnivals or Fairs",9186,9185,939,9015,9186,9186,939,9186
Amusement Parks,10020,7996,713110,Amusement Park or Exhibition Operation,9016,9016,969,9015,9016,9016,969,9016
Analytical Chemists,91135,8999,541620,"Analytical Laboratories or Assaying--Including
Laboratory, Outside Employees, Collectors of
Samples",4511,4511,955,4511,4571,4511,955,4511
Anhydrous Ammonia Dealers and Distributors,10036,5169,424690,"Anhydrous Ammonia Dealers and Distributors
(Includes Application) (CGL)",8350,8350,809,8350,8350,8350,809,8350
Animals--Draft,40045,272,112920,Animals--Draft,37,171,6,128,85,6,6,11
Animals--Saddle--for Rent,40046,272,112920,Animals--Saddle--for Rent,8279,7207,801,8279,7207,7207,801,83
Animals--Saddle--Private,40047,272,112920,Animals--Saddle--Private,8279,7207,801,8279,7201,7201,801,83
Antique Stores,10026,5932,453310,Used Merchandise Stores (NAICS),8017,8017,928,8017,8017,8017,928,8017
,,6531,531311,Apartment or Condominium Complex,9012,9007,880,9015,9015,9027,880,9032
,,,,Operation for Seniors--Onsite (CA),,,,,,,,
Apartment Buildings,60010,6531,531311,Apartment or Condominium Complex,9012,8740,880,9015,9015,9027,880,9032
,,,,Operation NOC--Offsite (CA),,,,,,,,
,,6531,531311,Apartment or Condominium Complex,9012,9011,880,9015,9015,9027,880,9032
,,,,Operation NOC--Onsite (CA),,,,,,,,
FastComp.com 4 (800 ) 476-2948,,,,,,,,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
"Apartment Buildings or Hotels Time-Sharing--4
Stories or More",60013,6519,531190,"Apartment Buildings or Hotels Time-Sharing--
4 Stories or More (Long-Term Leasing of
Furnished Apartments)",9015,9011,880,9015,9015,9027,880,9032
"Apartment Buildings or Hotels Time-Sharing--
Less Than 4 Stories",60012,6519,531190,"Apartment Buildings or Hotels Time-Sharing--
Less Than 4 Stories (Long-Term Leasing of
Furnished Apartments)",9015,9011,880,9015,9015,9027,880,9032
Apartment Buildings--Garden,60011,6519,531190,"Apartment Buildings--Garden (Single or
Multiple Dwelling Units Not over 2 Stories)",9015,9011,880,9015,9015,9027,880,9032
Apartment Hotels--4 Stories or More,60016,6513,531110,Apartment Hotels--4 Stories or More,9015,9011,880,9015,9015,9027,880,9015
Apartment Hotels--Less Than 4 Stories,60015,6513,531110,Apartment Hotels--Less Than 4 Stories,9015,9011,880,9015,9015,9027,880,9015
Appliance Distributors--Household Type,10040,5064,423620,"Appliance Distributors--Household Type
(Includes Radio, TV, Vacuum, Washer, A/C)
(CGL)",8018,8018,926,8018,8018,8018,926,8018
,,7359,532210,Consumer Electronics and Appliances Rental,8044,8017,925,8017,8017,8017,925,8017
,,,,(NAICS),,,,,,,,
Appliance Stores--Household Type,10042,5064,423620,"Electrical and Electronic Appliance,",8010,8018,926,8010,8010,7999,926,8018
,,,,"Television, and Radio Set Merchant",,,,,,,,
,,,,Wholesalers,,,,,,,,
,,5722,443111,Store: Household Appliance--Electrical,8044,8017,925,8017,8017,8017,925,8017
,,5722,443111,Store: Household Appliance--Electrical,8044,8017,928,8017,8054,8017,928,8017
,,,,"Refrigerator, Stove, Washer (NJ)",,,,,,,,
"Appliances and Accessories Mfg.--Commercial--
Gas",51220,"3582
3433","333312
333414","Commercial Laundry, Drycleaning and
Pressing Machine Mfg. (Gas)
Stove Mfg. (Commercial--Gas)","3632
3169","3632
3169","461
456","3632
3169","3632
3169","3632
3169","461
456","3632
3066"
,,3582,333312,"Commercial Laundry, Drycleaning and",3632,3632,461,3632,3632,3632,461,3632
,,,,Pressing Machine Mfg. (Not Gas),,,,,,,,
Appliances and Accessories Mfg.--Commercial--,51221,3563,333912,Soda Water Fountain or Apparatus Mfg.,3076,3076,456,3076,3076,3634,456,3066
Not Gas,,,,,,,,,,,,
,,3699,335999,Stove Mfg. (Commercial--Not Gas),3169,3169,456,3169,3169,3169,456,3066
"Appliances and Accessories Mfg.--Household--
Gas",51222,3631,335221,Stove Mfg. (Household--Gas),3169,3169,456,3169,3169,3169,456,3066
"Appliances and Accessories Mfg.--Household--
Not Gas",51224,3639,335228,Stove Mfg. (Household--Not Gas),3169,3169,456,3169,3169,3169,456,3066
"Appliances and Accessories--Installation,
Servicing or Repair--Commercial",91150,7699,811219,"Commercial Appliances--Electrical--
Installation, Service or Repair",9519,9519,662,5191,5191,5191,662,5191
,,7623,443111,Air Conditioning Systems: Portable Units--,9519,9519,664,9519,9519,9519,664,5190
,,,,"Installation, Service or Repair",,,,,,,,
"Appliances and Accessories--Installation,",91155,7629,443111,"Household Appliances--Electrical--Installation,",9519,9519,662,9519,9519,9519,662,5190
Servicing or Repair--Household,,,,Service or Repair,,,,,,,,
,,7623,811412,"Refrigeration: Domestic--Cleaning, Oiling or",9519,9519,664,9519,9519,9519,664,5190
,,,,Adjusting,,,,,,,,
,,7623,443111,"Refrigeration: Domestic--Installation, Service",9519,9519,664,9519,9519,9519,664,5190
,,,,or Repair,,,,,,,,
Archery Ranges--Indoor,10052,7999,713990,Archery Ranges--Indoor (CGL),9016,9016,969,9015,9016,9016,969,9016
Archery Ranges--Other Than Indoor,10054,7999,713990,Archery Ranges--Other Than Indoor (CGL),9016,9016,969,9015,9016,9016,969,9016
Armored Car Service Companies,91160,7381,561613,Armored Car Services,7720,7721,808,7720,7723,7723,808,7720
Army and Navy Stores,10060,Var.,452990,"Army and Navy Stores (Not Primarily
Clothing) (CGL)",8017,8017,928,8017,8017,8017,928,8017
Art Galleries--Not-For-Profit Only,10066,5999,453920,Art Galleries (Nonprofit) (CGL),8017,8017,928,8017,8017,8017,928,8017
Art Galleries--Other Than Not-For-Profit,10065,5999,453920,Art Galleries (CGL),8017,8017,928,8017,8017,8017,928,8017
Asbestos Goods Mfg.,51230,3292,327999,Asbestos Goods Mfg.,1852,1741,509,N/A,1842,N/A,509,N/A
FastComp.com,,5,,,,,(800 ) 476-2948,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
Asphalt or Tar Distilling or Refining,51240,"2951
2952","324121
324122","Asphalt or Tar Distilling or Refining
Building or Roofing Paper or Felt Preparation--
No Installation","4741
4283","4740
4283","551
255","4712
9501","4741
4283","1463
1463","551
255","4712
4283"
Asphalt Works,51241,2951,324121,"Asphalt Works Operated by Paving
Contractors--Permanent Location",1463,1463,855,1463,1463,1463,855,1463
"Athletic Games Sponsored by the Insured--Not-
For-Profit Only",40061,Var.,711320,"Athletic Games Sponsored by Insured
(Nonprofit) (CGL)",9182,9182,969,9015,9182,9182,969,9182
"Athletic Games Sponsored by the Insured--Other
Than Not-For-Profit",40059,Var.,711320,Athletic Games Sponsored by Insured (CGL),9182,9182,969,9015,9182,9182,969,9182
"Athletic or Sports Contests--in Buildings--
Lessees--Not-For-Profit Only",40064,7941,711320,"Athletic or Sports Contests--in Buildings--
Lessees (Nonprofit) (CGL)",9182,9182,969,9015,9182,9182,969,9182
"Athletic or Sports Contests--in Buildings--
Lessees--Other Than Not-For-Profit",40063,7941,711320,"Athletic or Sports Contests--in Buildings--
Lessees (CGL)",9182,9182,969,9015,9182,9182,969,9182
Athletic Programs--Amateur--Not-For-Profit Only,40067,7941,711320,Athletic Programs--Amateur (Nonprofit),9063,9067,976,9063,9063,9063,976,9063
"Athletic Programs--Amateur--Other Than Not-
For-Profit",40066,7941,711320,Athletic Programs--Amateur,9063,9053,884,9063,9053,9055,884,9063
Athletic Teams--Professional or Semi-,40069,7999,813990,Athletic Sports or Park--Contact Sports:,9179,9181,970,9015,9179,9179,970,9179
Professional,,,,"Applies to Players, Coaches, Managers or",,,,,,,,
,,,,Umpires,,,,,,,,
,,7999,813990,Athletic Sports or Park--Noncontact Sports:,9178,9181,991,9015,9178,9178,970,9178
,,,,"Applies to Players, Coaches, Managers or",,,,,,,,
,,,,Umpires,,,,,,,,
"Auctioneers--Livestock--Sales Conducted Away
from the Insured's Premises",91175,5154,424520,Livestock Merchant Wholesalers (NAICS),8288,8286,801,129,81,8288,801,8288
"Auctioneers--Sales Conducted Away from the
Insured's Premises",91177,7389,561990,Auctioneers (Not Livestock),8017,8017,951,8017,8090,8090,951,8017
"Auctions--on Premises Owned or Rented by the
Insured",91179,5999,453998,"Auctions--on Premises Owned or Rented by
Insured (Not Livestock) (CGL)",8017,8017,951,8017,8090,8090,951,8017
Automobile Dismantling,91190,5093,423930,Automobile Recycling (Includes Dismantling),3821,3821,859,3821,3821,3821,861,3821
Automobile Distributors,N/A,5012,423110,"Automobile Auction (DE, PA)",8046,8046,820,8046,8046,8046,820,8391
Automobile Mfg. or Assembling,51255,"3711
3799
3799","336111
336999
336999","Automobile Mfg. or Assembly
Carriage or Wagon Mfg. or Assembly
Wagon or Carriage Mfg. or Assembly","3808
3808
3808","3808
3808
3808","463
305
305","3808
3808
3808","8393
3864
3864","3808
3808
3808","463
451
451","3808
3824
3824"
Automobile Parts and Supplies Distributors,10070,"5015
5013","423140
423120","Motor Vehicle Parts (Used) Merchant
Wholesalers
Motor Vehicle Supplies and New Parts
Merchant Wholesalers","8046
8046","8046
8046","934
934","8046
8046","8046
8046","8046
8046","934
934","8391
8391"
Automobile Parts and Supplies Stores,10071,"5531
5531","441310
441310","Automobile Parts and Accessories NOC
Store: Automobile Parts and Accessories
NOC","8046
8046","8046
8046","934
934","8046
8046","8046
8046","8046
8046","934
934","8391
8391"
Automobile Quick Lubrication Services,10072,7549,811191,Automobile Quick Lubrication Services (CGL),8380,8389,815,8395,8397,8391,815,8387
,,7515,532112,Automobile Leasing Company--Long-Term:,8380,8391,818,8395,8398,8391,818,8391
,,,,All Other Employees,,,,,,,,
,,7515,532112,Automobile Leasing Company--Long-Term:,8748,8748,818,8748,8748,8748,818,8748
,,,,Salespersons,,,,,,,,
,,7514,532111,Automobile Rental Co.: All Other Employees,8002,8391,818,7382,7369,8392,818,8002
,,,,and Counter Personnel,,,,,,,,
Automobile Renting or Leasing Companies,60035,7514,532111,Automobile Rental Co.: Garage Employees,8385,8391,818,8395,8385,8385,818,8385
,,7513,532120,Truck Leasing--Long-Term: All Other,8380,8391,818,8395,8398,8391,818,8391
,,,,Employees,,,,,,,,
FastComp.com,,6,,,,,(800 ) 476-2948,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
,,"7513
7513
7513","532120
532120
532120","Truck Leasing--Long-Term: Sales Employees
Truck Rental: All Other Employees Except
Rental Clerks (DE, PA)
Truck Rental: Garage Employees","8748
8002
8385","8748
8391
8391","818
818
818","8748
7382
8395","8748
7369
8385","8748
8392
8385","818
818
818","8748
8002
8385"
,,7539,811198,Air Conditioning Systems--Automobile--,8380,8389,815,8395,8397,8391,815,8391
,,,,"Installation, Service or Repair",,,,,,,,
,,7532,811121,Automobile Body Repair,8393,8393,815,8393,8393,8391,815,8391
,,7533,811112,Automobile Muffler--Installation or Repair,8380,8389,815,8395,8387,8391,815,8391
Automobile Repair or Service Shops,10073,7537,811113,Automobile or Automobile Transmission,8380,8397,815,8395,8397,8391,815,3648
,,,,Repair and Rebuilding (CA),,,,,,,,
,,7539,811118,Automobile or Automobile Truck Parts,3632,3828,815,3632,3632,3632,815,3648
,,,,Rebuilding (CA),,,,,,,,
,,5511,441110,Automobile Service or Repair Center,8380,8389,815,8395,8397,8391,815,8391
,,7536,811122,Automotive Glass Replacement Shops,8380,8389,815,8395,8397,8391,815,8391
,,,,(NAICS),,,,,,,,
,,7538,811111,Automotive Machine Shop,3632,3632,461,3632,3632,3632,461,8391
Automobile Repair Shops--Self-Service,10075,7538,811111,Automobile Repair Shops--Self-Service,8380,8389,816,8395,8397,8391,816,8391
Automobile Sales,N/A,"5511
5511
5521","441110
441110
441120","Automobile Sales or Service Agency and
Parts Department Employees
Automobile Salespersons
Used Car Dealers","8380
8748
8748","8391
8748
8748","818
818
818","8395
8748
8748","8398
8748
8748","8391
8748
8748","818
818
818","8391
8748
8748"
,,3711,336211,"Automobile, Bus, Truck or Trailer Body Mfg.--",3822,3815,451,3824,3815,3824,451,3822
,,,,Die Pressed Steel,,,,,,,,
"Automobile, Bus and Truck Body Mfg.",51250,3711,336211,"Automobile, Bus, Truck or Trailer Body Mfg.--",3824,3815,451,3824,3815,3824,451,3824
,,,,NOC,,,,,,,,
,,3711,336211,"Automobile, Bus, Truck or Trailer Body Mfg.--",9505,9501,451,9501,3815,9505,451,9501
,,,,Painting,,,,,,,,
,,3711,336211,"Automobile, Bus, Truck or Trailer Body Mfg.--",3824,3815,451,3824,3815,3823,451,3823
,,,,Riveted or Welded,,,,,,,,
"Automobile, Bus or Truck Parts Mfg.--Brakes or
Brake Linings",51251,3714,336340,"Automobile, Bus or Truck Parts Mfg.--Brakes
or Brake Linings",3400,3840,509,3400,3400,3400,509,3400
,,3714,336399,Automobile Radiator Mfg.,3807,3807,454,3807,3807,3807,454,3807
"Automobile, Bus or Truck Parts Mfg.--Not",51252,3585,336391,Motor Vehicle Air Conditioning Mfg.,3179,3165,473,3179,3179,3179,473,3179
Operating Parts,,,,,,,,,,,,
,,Var.,336360,Motor Vehicle Seating and Interior Trim Mfg.,3300,3300,457,3257,3300,3300,457,3300
,,,,(NAICS),,,,,,,,
,,3714,336399,Radiator Mfg.--Automobile,3807,3807,454,3807,3807,3807,454,3807
,,3714,336399,Automobile Wheel Mfg.--Metal--Not Cast,3803,3840,454,3808,3110,3381,454,3805
,,3714,336350,Automotive Ignition or Starting Apparatus Mfg.,3648,3632,473,3648,3648,3648,473,3648
"Automobile, Bus or Truck Parts Mfg.--Operating",51253,3647,336321,Automotive Lighting Apparatus Mfg.,3648,3632,473,3648,3648,3648,473,3648
Parts,,,,,,,,,,,,
,,3714,336330,"Automotive Lighting, Ignition or Starting",3648,3632,473,3648,3648,3648,473,3648
,,,,Apparatus Mfg. (Steering and Suspension,,,,,,,,
